analysis,x,time,estimate,lcl,ucl,natrisk
Survival,1,0.1567517298,0.9982697798,0.9978539101,0.9986155563,
Survival,1,0.1577922541,0.9982464552,0.997827839,0.9985949372,
Survival,1,0.1582509919,0.9982231192,0.9978017739,0.9985742904,
Survival,1,0.1594391665,0.998199758,0.9977756971,0.9985536055,
Survival,1,0.1601486208,0.9981763744,0.9977496118,0.9985328849,
Survival,1,0.1661282739,0.9981528602,0.9977233822,0.9985120432,
Survival,1,0.1678201755,0.9981293089,0.9976971255,0.9984911545,
Survival,1,0.1713771392,0.998105675,0.9976707847,0.998470183,
Survival,1,0.1773049605,0.9980819009,0.9976442878,0.9984490829,
Survival,1,0.1846292062,0.9980579454,0.9976175833,0.9984278217,
Survival,1,0.1851722556,0.9980339784,0.9975908838,0.9984065338,
Survival,1,0.1871887213,0.9980099578,0.9975641364,0.9983851863,
Survival,1,0.1875192043,0.997985929,0.9975373976,0.9983638153,
Survival,1,0.1899983854,0.9979618475,0.9975106116,0.9983423856,
Survival,1,0.1926129915,0.9979376984,0.9974837598,0.9983208856,
Survival,1,0.195803962,0.9979134602,0.9974568154,0.9982992981,
Survival,1,0.1966874216,0.9978892048,0.9974298678,0.9982776807,
Survival,1,0.2018022406,0.9978648298,0.9974027895,0.9982559517,
Survival,1,0.208287204,0.9978403068,0.9973755456,0.9982340884,
Survival,1,0.2141343402,0.9978156414,0.9973481431,0.9982120952,
Survival,1,0.2144890315,0.9977909637,0.9973207435,0.9981900762,
Survival,1,0.2151538386,0.9977662696,0.9972933411,0.9981680281,
Survival,1,0.2156464869,0.9977415639,0.9972659419,0.9981459552,
Survival,1,0.2186935581,0.9977167833,0.9972384673,0.9981238068,
Survival,1,0.2217609815,0.9976919149,0.9972109015,0.9981015727,
Survival,1,0.2233346894,0.9976670081,0.9971833053,0.9980792926,
Survival,1,0.2269249688,0.9976420146,0.9971556189,0.9980569276,
Survival,1,0.2332028604,0.9976168654,0.9971277577,0.9980344225,
Survival,1,0.2333961456,0.997591715,0.9970999117,0.9980119014,
Survival,1,0.2378418371,0.9975664531,0.9970719452,0.9979892757,
Survival,1,0.2384252302,0.9975411746,0.9970439749,0.9979666219,
Survival,1,0.2469084051,0.997515666,0.997015738,0.9979437679,
Survival,1,0.2475836835,0.9974901443,0.9969875019,0.9979208886,
